ym,mean_sentiment,std,n_tweets
2015-02,0.09986666666666666,0.4236147764040801,12
2015-03,-0.20795714285714287,0.528696941726048,7
2015-04,0.027401999999999996,0.3539216842287951,50
2015-05,-0.051710714285714277,0.28457701338586544,28
2015-06,-0.06542222222222221,0.3173497258755741,72
2015-07,-0.03488000000000001,0.28902891787573964,20
2015-08,0.0558190476190476,0.38536605146152614,21
2015-09,-0.06948,0.35211029096009105,5
2015-10,0.01571578947368421,0.31111768988449423,19
2015-11,-0.11979000000000001,0.2990777874720616,50
2015-12,-0.11540535714285714,0.4627381731692117,112
2016-01,0.01539206349206349,0.4815896031931523,63
2016-02,-0.09910050505050505,0.3698742858866371,198
2016-03,-0.06242695652173913,0.4674661802799944,115
2016-04,-0.19578,0.43995281009570913,10
2016-05,-0.1774457627118644,0.5099669486660247,59
2016-06,-0.02678198198198198,0.4727114513293011,111
2016-07,-0.07957333931777379,0.4147501453539698,1114
2016-08,-0.08386159376872379,0.39146208137694727,1669
2016-09,-0.0706314467408585,0.4115073701267103,6290
2016-10,-0.08677191474733585,0.4084281837662914,5818
2016-11,-0.05215252613240418,0.4309370644521894,2296
2016-12,-0.09955951086956523,0.4586738953844191,368
2017-01,-0.03925,0.4340237836666022,308
2017-02,-0.024094680851063827,0.40425178738728057,94
2017-03,-0.1604279069767442,0.3945501647400065,129
2017-04,-0.010991666666666655,0.5554089606412612,12
2017-07,-0.008928571428571428,0.44851916612442816,7
2017-08,0.34,,1
