ts,volume,roll_mean,roll_std,z_score,is_spike
2016-03-22,1021,199.85714285714286,366.7148886039528,2.239186034330012,True
2016-04-17,34,7.142857142857143,12.061351104917433,2.2267109732170183,True
2016-05-23,116,31.714285714285715,39.59256784513154,2.128826668060591,True
2016-05-28,204,68.85714285714286,66.66440472353136,2.027211638704607,True
2016-06-08,91,24.428571428571427,32.65913421416677,2.038370892959907,True
2016-06-20,201,51.142857142857146,69.71950604966625,2.149429210677264,True
2016-07-07,209,52.0,70.92484285025422,2.2136108264840133,True
2016-07-11,129,45.57142857142857,38.97373963263344,2.1406355206087313,True
2016-07-21,1327,427.85714285714283,405.9985338936702,2.214645576474766,True
2016-07-29,1238,487.42857142857144,352.8299199061107,2.127289626602977,True
2016-08-24,1159,381.2857142857143,384.0714839218147,2.024920667821839,True
2016-08-31,934,331.57142857142856,274.12701261936786,2.1976257125198324,True
2016-10-19,1968,945.0,501.59678361541927,2.039486761909437,True
2016-11-02,1027,649.5714285714286,173.83407523925285,2.1712001568685864,True
2016-11-08,2867,1053.857142857143,858.7530550302629,2.1113669948795244,True
2016-11-21,1540,705.5714285714286,410.1503208755127,2.0344457360106127,True
2016-11-28,1169,444.85714285714283,335.9218304761938,2.155688590159001,True
2016-12-05,1437,692.7142857142857,364.53610442392636,2.041733878354528,True
