ym,mean_sentiment,std,n_tweets
2015-04,-0.25,,1
2015-06,-0.17415925925925926,0.3585134556634352,27
2015-07,-0.0674925,0.46073656825448867,40
2015-08,0.08681868131868133,0.3970854019287392,91
2015-09,0.0683,0.13659999999999997,4
2015-10,0.06799166666666667,0.37208478804266326,24
2015-11,-0.027710344827586202,0.4050274156019103,29
2015-12,0.060135555555555546,0.4876904037418866,180
2016-01,0.11350707070707071,0.4559188703904088,99
2016-02,0.007929971181556198,0.3971817360718822,347
2016-03,0.02001350482315113,0.4411398991150369,311
2016-04,-0.06360454545454546,0.3698632700739336,22
2016-05,0.07170114942528737,0.4148513453269661,87
2016-06,0.03241147540983607,0.41106431820270356,61
2016-07,-0.0012673500379650736,0.4005233987678194,1317
2016-08,0.002633768074851148,0.38921145172559574,3527
2016-09,-0.00025769686204854954,0.4439573607985561,6756
2016-10,-0.04044622320768662,0.43167749677001166,6765
2016-11,0.013096768112038781,0.4399852298171204,3713
2016-12,-0.018518809005083514,0.4412133848887359,1377
2017-01,-0.04959222462203024,0.4462090097964489,2315
2017-02,-0.050789833641404804,0.4522396879982036,1082
2017-03,-0.0538726507713885,0.4200681004124394,713
2017-04,-0.11716938775510205,0.4035360433753684,147
2017-05,-0.07476,0.5169957526766679,15
2017-06,-0.1332,0.25641890358873126,18
2017-07,-0.02085655172413793,0.3825853697059348,145
2017-08,-0.06477,0.4228422467312008,30
2017-09,0.0,,1
